x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
14.0686,112,0.00892857,105.984,105.984,0.998978,,
14.0828,106,0.00943396,105.975,105.975,0.999979,,
14.097,110,0.00909091,105.966,105.966,1.00098,,
14.1112,98,0.0102041,105.957,105.957,1.00198,,
14.1253,106,0.00943396,105.948,105.948,1.00298,,
14.1395,96,0.0104167,105.94,105.94,1.00398,,
14.1537,114,0.00877193,105.931,105.931,1.00498,,
14.1678,105,0.00952381,105.922,105.922,1.00599,,
14.182,110,0.00909091,105.913,105.913,1.00699,,
14.1962,117,0.00854701,105.904,105.904,1.00799,,
14.2103,90,0.0111111,105.895,105.895,1.00899,,
14.2245,125,0.008,105.886,105.886,1.00999,,
14.2387,105,0.00952381,105.877,105.877,1.01099,,
14.2529,98,0.0102041,105.868,105.868,1.01199,,
14.267,87,0.0114943,105.859,105.859,1.01299,,
14.2812,108,0.00925926,105.85,105.85,1.01399,,
14.2954,112,0.00892857,105.841,105.841,1.01499,,
14.3095,74,0.0135135,105.832,105.832,1.016,,
14.3237,111,0.00900901,105.823,105.823,1.017,,
14.3379,91,0.010989,105.814,105.814,1.018,,
14.352,99,0.010101,105.805,105.805,1.019,,
14.3662,98,0.0102041,105.796,105.796,1.02,,
14.3804,103,0.00970874,105.787,105.787,1.021,,
14.3946,120,0.00833333,105.778,105.778,1.022,,
14.4087,93,0.0107527,105.769,105.769,1.023,,
14.4229,111,0.00900901,105.76,105.76,1.024,,
14.4371,120,0.00833333,105.751,105.751,1.025,,
14.4512,93,0.0107527,105.742,105.742,1.026,,
14.4654,102,0.00980392,105.733,105.733,1.027,,
14.4796,115,0.00869565,105.724,105.724,1.028,,
14.4937,103,0.00970874,105.715,105.715,1.029,,
14.5079,93,0.0107527,105.706,105.706,1.03001,,
14.5221,125,0.008,105.697,105.697,1.03101,,
14.5363,98,0.0102041,105.688,105.688,1.03201,,
14.5504,105,0.00952381,105.679,105.679,1.03301,,
14.5646,98,0.0102041,105.67,105.67,1.03401,,
14.5788,92,0.0108696,105.661,105.661,1.03501,,
14.5929,94,0.0106383,105.652,105.652,1.03601,,
14.6071,103,0.00970874,105.643,105.643,1.03701,,
14.6213,102,0.00980392,105.634,105.634,1.03801,,
14.6354,96,0.0104167,105.625,105.625,1.03901,,
14.6496,113,0.00884956,105.616,105.616,1.04001,,
14.6638,114,0.00877193,105.607,105.607,1.04101,,
14.6779,106,0.00943396,105.598,105.598,1.04201,,
14.6921,107,0.00934579,105.589,105.589,1.04301,,
14.7063,102,0.00980392,105.58,105.58,1.04401,,
14.7205,109,0.00917431,105.571,105.571,1.04501,,
14.7346,113,0.00884956,105.562,105.562,1.04601,,
14.7488,132,0.00757576,105.553,105.553,1.04701,,
14.763,115,0.00869565,105.544,105.544,1.04801,,
14.7771,107,0.00934579,105.535,105.535,1.04901,,
14.7913,108,0.00925926,105.526,105.526,1.05002,,
14.8055,131,0.00763359,105.517,105.517,1.05102,,
14.8196,118,0.00847458,105.507,105.507,1.05202,,
14.8338,109,0.00917431,105.498,105.498,1.05302,,
14.848,105,0.00952381,105.489,105.489,1.05402,,
14.8622,114,0.00877193,105.48,105.48,1.05502,,
14.8763,115,0.00869565,105.471,105.471,1.05602,,
14.8905,125,0.008,105.462,105.462,1.05702,,
14.9047,104,0.00961538,105.453,105.453,1.05802,,
14.9188,122,0.00819672,105.444,105.444,1.05902,,
14.933,116,0.00862069,105.435,105.435,1.06002,,
14.9472,103,0.00970874,105.426,105.426,1.06102,,
14.9613,96,0.0104167,105.416,105.416,1.06202,,
14.9755,97,0.0103093,105.407,105.407,1.06302,,
14.9897,115,0.00869565,105.398,105.398,1.06402,,
15.0039,85,0.0117647,105.389,105.389,1.06502,,
15.018,111,0.00900901,105.38,105.38,1.06602,,
15.0322,102,0.00980392,105.371,105.371,1.06702,,
15.0464,114,0.00877193,105.362,105.362,1.06802,,
15.0605,114,0.00877193,105.353,105.353,1.06902,,
15.0747,112,0.00892857,105.343,105.343,1.07002,,
15.0889,101,0.00990099,105.334,105.334,1.07102,,
15.103,109,0.00917431,105.325,105.325,1.07202,,
15.1172,109,0.00917431,105.316,105.316,1.07302,,
15.1314,122,0.00819672,105.307,105.307,1.07402,,
15.1456,83,0.0120482,105.298,105.298,1.07502,,
15.1597,116,0.00862069,105.289,105.289,1.07602,,
